,date,spx_index
1,1999-01-05,4709.14
2,1999-01-06,4781.92
3,1999-01-07,4716.7
4,1999-01-08,4767.01
5,1999-01-11,4676.18
6,1999-01-12,4649.22
7,1999-01-13,4479.88
8,1999-01-14,4460.37
9,1999-01-15,4530.06
10,1999-01-18,4550.54
11,1999-01-19,4528.78
12,1999-01-20,4577.41
13,1999-01-21,4488.15
14,1999-01-22,4437.13
15,1999-01-25,4457.73
16,1999-01-26,4460.0
17,1999-01-27,4440.06
18,1999-01-28,4495.41
19,1999-01-29,4532.24
20,1999-02-01,4578.86
21,1999-02-02,4547.94
22,1999-02-03,4529.71
23,1999-02-04,4500.77
24,1999-02-05,4500.22
25,1999-02-08,4456.04
26,1999-02-09,4393.3
27,1999-02-10,4362.03
28,1999-02-11,4368.27
29,1999-02-12,4404.86
30,1999-02-15,4418.12
31,1999-02-16,4436.13
32,1999-02-17,4450.7
33,1999-02-18,4414.54
34,1999-02-19,4393.91
35,1999-02-22,4467.82
36,1999-02-23,4508.85
37,1999-02-24,4557.99
38,1999-02-25,4487.86
39,1999-02-26,4470.42
40,1999-03-01,4434.8
41,1999-03-02,4419.41
42,1999-03-03,4427.32
43,1999-03-04,4495.5
44,1999-03-05,4557.95
45,1999-03-08,4540.36
46,1999-03-09,4581.23
47,1999-03-10,4553.1
48,1999-03-11,4618.01
49,1999-03-12,4588.18
50,1999-03-15,4581.31
51,1999-03-16,4571.79
52,1999-03-17,4580.65
53,1999-03-18,4565.45
54,1999-03-19,4580.94
55,1999-03-22,4550.38
56,1999-03-23,4469.34
57,1999-03-24,4431.31
58,1999-03-25,4507.87
59,1999-03-26,4466.94
60,1999-03-29,4513.2
61,1999-03-30,4481.86
62,1999-03-31,4539.26
63,1999-04-01,4536.8
64,1999-04-06,4560.65
65,1999-04-07,4590.35
66,1999-04-08,4650.64
67,1999-04-09,4682.18
68,1999-04-12,4670.0
69,1999-04-13,4678.3
70,1999-04-14,4681.91
71,1999-04-15,4608.62
72,1999-04-16,4571.22
73,1999-04-19,4619.55
74,1999-04-20,4550.17
75,1999-04-21,4549.04
76,1999-04-22,4580.92
77,1999-04-23,4569.8
78,1999-04-26,4639.89
79,1999-04-27,4721.13
80,1999-04-28,4715.93
81,1999-04-29,4688.55
82,1999-04-30,4714.57
83,1999-05-03,4771.65
84,1999-05-04,4728.33
85,1999-05-05,4687.94
86,1999-05-06,4663.62
87,1999-05-07,4654.39
88,1999-05-10,4660.05
89,1999-05-11,4652.71
90,1999-05-12,4630.07
91,1999-05-14,4576.58
92,1999-05-17,4488.1
93,1999-05-18,4543.14
94,1999-05-19,4555.46
95,1999-05-20,4600.47
96,1999-05-21,4572.04
97,1999-05-25,4473.37
98,1999-05-26,4480.44
99,1999-05-27,4402.17
100,1999-05-28,4426.31
101,1999-05-31,4494.29
102,1999-06-01,4474.09
103,1999-06-02,4525.81
104,1999-06-03,4581.88
105,1999-06-04,4641.97
106,1999-06-07,4675.44
107,1999-06-08,4663.48
108,1999-06-09,4669.28
109,1999-06-10,4583.73
110,1999-06-11,4576.54
111,1999-06-14,4578.49
112,1999-06-15,4595.72
113,1999-06-16,4622.78
114,1999-06-17,4654.4
115,1999-06-18,4682.46
116,1999-06-21,4725.68
117,1999-06-22,4672.6
118,1999-06-23,4623.13
119,1999-06-24,4594.62
120,1999-06-25,4554.23
121,1999-06-28,4547.4
122,1999-06-29,4581.97
123,1999-06-30,4530.85
124,1999-07-01,4637.56
125,1999-07-02,4700.67
126,1999-07-05,4748.3
127,1999-07-06,4700.86
128,1999-07-07,4681.96
129,1999-07-08,4689.56
130,1999-07-09,4683.25
131,1999-07-12,4695.37
132,1999-07-13,4632.72
133,1999-07-14,4653.76
134,1999-07-15,4665.74
135,1999-07-16,4645.54
136,1999-07-19,4659.3
137,1999-07-20,4593.44
138,1999-07-21,4604.7
139,1999-07-22,4566.39
140,1999-07-23,4485.39
141,1999-07-26,4444.04
142,1999-07-27,4494.89
143,1999-07-28,4501.79
144,1999-07-29,4434.46
145,1999-07-30,4531.51
146,1999-08-02,4548.9
147,1999-08-03,4545.51
148,1999-08-04,4536.15
149,1999-08-05,4452.12
150,1999-08-06,4430.96
151,1999-08-09,4440.16
152,1999-08-10,4379.42
153,1999-08-11,4419.98
154,1999-08-12,4490.04
155,1999-08-13,4560.27
156,1999-08-16,4591.94
157,1999-08-17,4594.61
158,1999-08-18,4593.14
159,1999-08-19,4592.8
160,1999-08-20,4625.12
161,1999-08-23,4680.22
162,1999-08-24,4656.49
163,1999-08-25,4679.56
164,1999-08-26,4682.58
165,1999-08-27,4696.21
166,1999-08-30,4695.41
167,1999-08-31,4607.21
168,1999-09-01,4664.47
169,1999-09-02,4619.23
170,1999-09-03,4685.16
171,1999-09-06,4725.1
172,1999-09-07,4718.61
173,1999-09-08,4704.51
174,1999-09-09,4722.8
175,1999-09-10,4713.59
176,1999-09-13,4655.98
177,1999-09-14,4642.52
178,1999-09-15,4652.71
179,1999-09-16,4616.29
180,1999-09-17,4641.64
181,1999-09-20,4666.46
182,1999-09-21,4647.01
183,1999-09-22,4629.98
184,1999-09-23,4657.63
185,1999-09-24,4596.2
186,1999-09-27,4650.96
187,1999-09-28,4575.2
188,1999-09-29,4561.73
189,1999-09-30,4570.61
190,1999-10-01,4554.27
191,1999-10-04,4631.24
192,1999-10-05,4628.2
193,1999-10-06,4642.79
194,1999-10-07,4669.98
195,1999-10-08,4688.05
196,1999-10-11,4696.61
197,1999-10-12,4651.3
198,1999-10-13,4608.28
199,1999-10-14,4603.08
200,1999-10-15,4505.76
201,1999-10-18,4460.14
202,1999-10-19,4550.39
203,1999-10-20,4541.65
204,1999-10-21,4495.91
205,1999-10-22,4548.72
206,1999-10-25,4514.47
207,1999-10-26,4554.45
208,1999-10-27,4543.85
209,1999-10-28,4636.06
210,1999-10-29,4705.24
211,1999-11-01,4704.89
212,1999-11-02,4722.51
213,1999-11-03,4766.41
214,1999-11-04,4787.79
215,1999-11-05,4814.12
216,1999-11-08,4815.96
217,1999-11-09,4816.5
218,1999-11-10,4825.83
219,1999-11-11,4859.73
220,1999-11-15,4861.84
221,1999-11-16,4863.74
222,1999-11-17,4854.95
223,1999-11-18,4860.89
224,1999-11-19,4843.9
225,1999-11-22,4812.96
226,1999-11-23,4793.28
227,1999-11-24,4779.03
228,1999-11-25,4825.33
229,1999-11-26,4850.79
230,1999-11-29,4875.28
231,1999-11-30,4877.5
232,1999-12-01,4921.24
233,1999-12-02,4934.12
234,1999-12-03,4973.86
235,1999-12-06,4918.54
236,1999-12-07,4891.99
237,1999-12-08,4851.67
238,1999-12-09,4859.09
239,1999-12-10,4836.3
240,1999-12-13,4842.26
241,1999-12-14,4850.8
242,1999-12-15,4814.2
243,1999-12-16,4858.66
244,1999-12-17,4881.63
245,1999-12-20,4909.78
246,1999-12-21,4860.59
247,1999-12-22,4869.88
248,1999-12-23,4930.38
249,1999-12-27,4937.51
250,1999-12-28,4953.89
251,1999-12-29,4977.18
252,1999-12-30,5022.86
253,2000-01-04,4853.06
254,2000-01-05,4802.81
255,2000-01-06,4861.37
256,2000-01-07,4971.8
257,2000-01-10,4982.29
258,2000-01-11,4968.49
259,2000-01-12,4977.76
260,2000-01-13,4985.22
261,2000-01-14,5042.25
262,2000-01-17,5047.21
263,2000-01-18,4972.39
264,2000-01-19,4948.53
265,2000-01-20,4902.95
266,2000-01-21,4902.42
267,2000-01-24,4841.11
268,2000-01-25,4755.05
269,2000-01-26,4771.43
270,2000-01-27,4853.21
271,2000-01-28,4804.86
272,2000-01-31,4717.22
273,2000-02-01,4791.86
274,2000-02-02,4827.56
275,2000-02-03,4887.15
276,2000-02-04,4869.56
277,2000-02-07,4859.41
278,2000-02-08,4867.8
279,2000-02-09,4807.2
280,2000-02-10,4781.58
281,2000-02-11,4778.65
282,2000-02-14,4754.87
283,2000-02-15,4686.02
284,2000-02-16,4747.6
285,2000-02-17,4799.34
286,2000-02-18,4824.66
287,2000-02-21,4772.78
288,2000-02-22,4811.57
289,2000-02-23,4848.03
290,2000-02-24,4832.86
291,2000-02-25,4803.76
292,2000-02-28,4758.93
293,2000-02-29,4750.92
294,2000-03-01,4798.53
295,2000-03-02,4860.84
296,2000-03-03,4850.61
297,2000-03-06,4904.67
298,2000-03-07,4883.14
299,2000-03-08,4805.12
300,2000-03-09,4787.45
301,2000-03-10,4793.21
302,2000-03-13,4693.71
303,2000-03-14,4738.34
304,2000-03-15,4725.83
305,2000-03-16,4871.47
306,2000-03-17,4866.28
307,2000-03-20,4922.66
308,2000-03-21,4959.52
309,2000-03-22,5033.5
310,2000-03-23,5032.77
311,2000-03-24,5083.49
312,2000-03-27,5047.49
313,2000-03-28,5054.27
314,2000-03-29,5073.5
315,2000-03-30,5049.04
316,2000-03-31,5075.78
317,2000-04-03,5116.34
318,2000-04-04,5141.02
319,2000-04-05,5057.3
320,2000-04-06,5065.52
321,2000-04-07,5064.3
322,2000-04-10,5049.73
323,2000-04-11,5074.53
324,2000-04-12,5115.68
325,2000-04-13,5117.4
326,2000-04-14,5060.67
327,2000-04-17,4970.05
328,2000-04-18,4988.74
329,2000-04-19,5003.16
330,2000-04-20,5013.79
331,2000-04-25,5052.1
332,2000-04-26,5078.69
333,2000-04-27,5054.14
334,2000-04-28,5062.73
335,2000-05-02,5148.17
336,2000-05-03,5139.62
337,2000-05-04,5133.56
338,2000-05-05,5129.34
339,2000-05-08,5145.7
340,2000-05-09,5181.95
341,2000-05-10,5157.6
342,2000-05-11,5241.77
343,2000-05-12,5265.97
344,2000-05-15,5257.22
345,2000-05-16,5287.21
346,2000-05-17,5263.87
347,2000-05-18,5300.78
348,2000-05-19,5253.56
349,2000-05-22,5237.43
350,2000-05-23,5297.42
351,2000-05-24,5297.11
352,2000-05-25,5347.58
353,2000-05-26,5281.56
354,2000-05-29,5297.52
355,2000-05-30,5251.29
356,2000-05-31,5269.66
357,2000-06-02,5346.03
358,2000-06-05,5321.05
359,2000-06-06,5295.42
360,2000-06-07,5330.17
361,2000-06-08,5341.11
362,2000-06-09,5336.14
363,2000-06-13,5334.84
364,2000-06-14,5370.99
365,2000-06-15,5333.66
366,2000-06-16,5345.88
367,2000-06-19,5314.28
368,2000-06-20,5320.89
369,2000-06-21,5295.97
370,2000-06-22,5235.29
371,2000-06-23,5238.37
372,2000-06-26,5241.37
373,2000-06-27,5242.17
374,2000-06-28,5264.54
375,2000-06-29,5253.98
376,2000-06-30,5293.34
377,2000-07-03,5318.93
378,2000-07-04,5351.49
379,2000-07-05,5382.58
380,2000-07-06,5413.23
381,2000-07-07,5423.0
382,2000-07-10,5435.26
383,2000-07-11,5446.01
384,2000-07-12,5431.35
385,2000-07-13,5471.54
386,2000-07-14,5464.9
387,2000-07-17,5450.09
388,2000-07-18,5433.73
389,2000-07-19,5454.34
390,2000-07-20,5463.87
391,2000-07-21,5448.21
392,2000-07-24,5505.41
393,2000-07-25,5505.25
394,2000-07-26,5495.93
395,2000-07-27,5490.74
396,2000-07-28,5489.64
397,2000-07-31,5504.14
398,2000-08-02,5585.35
399,2000-08-03,5575.78
400,2000-08-04,5580.18
401,2000-08-07,5655.54
402,2000-08-08,5653.38
403,2000-08-09,5658.87
404,2000-08-10,5639.88
405,2000-08-11,5655.71
406,2000-08-14,5690.01
407,2000-08-15,5687.15
408,2000-08-16,5730.99
409,2000-08-17,5689.41
410,2000-08-18,5686.91
411,2000-08-21,5713.61
412,2000-08-22,5739.89
413,2000-08-23,5770.05
414,2000-08-24,5758.82
415,2000-08-25,5736.29
416,2000-08-28,5753.37
417,2000-08-29,5704.34
418,2000-08-30,5676.34
419,2000-08-31,5681.82
420,2000-09-01,5690.66
421,2000-09-04,5673.55
422,2000-09-05,5662.85
423,2000-09-06,5641.44
424,2000-09-07,5644.45
425,2000-09-08,5625.33
426,2000-09-11,5625.34
427,2000-09-12,5586.63
428,2000-09-13,5579.74
429,2000-09-14,5565.31
430,2000-09-15,5573.87
431,2000-09-18,5524.6
432,2000-09-19,5483.78
433,2000-09-20,5459.6
434,2000-09-21,5466.14
435,2000-09-22,5511.47
436,2000-09-25,5550.31
437,2000-09-26,5518.53
438,2000-09-27,5514.37
439,2000-09-28,5520.03
440,2000-09-29,5423.6
441,2000-10-02,5526.35
442,2000-10-03,5572.97
443,2000-10-04,5566.71
444,2000-10-05,5578.45
445,2000-10-06,5549.83
446,2000-10-09,5441.5
447,2000-10-10,5478.84
448,2000-10-11,5375.42
449,2000-10-12,5393.8
450,2000-10-13,5354.0
451,2000-10-16,5316.58
452,2000-10-17,5339.68
453,2000-10-18,5335.09
454,2000-10-19,5422.95
455,2000-10-20,5404.64
456,2000-10-23,5433.57
457,2000-10-24,5503.16
458,2000-10-25,5479.88
459,2000-10-26,5492.22
460,2000-10-27,5509.27
461,2000-10-30,5554.52
462,2000-10-31,5572.9
463,2000-11-01,5575.75
464,2000-11-02,5644.83
465,2000-11-03,5631.9
466,2000-11-06,5676.82
467,2000-11-07,5673.29
468,2000-11-08,5658.69
469,2000-11-09,5604.36
470,2000-11-10,5609.89
471,2000-11-13,5565.27
472,2000-11-14,5642.47
473,2000-11-15,5639.04
474,2000-11-16,5656.32
475,2000-11-17,5657.66
476,2000-11-20,5657.99
477,2000-11-21,5669.53
478,2000-11-22,5581.55
479,2000-11-23,5596.16
480,2000-11-24,5614.67
481,2000-11-27,5656.8
482,2000-11-28,5613.82
483,2000-11-29,5597.2
484,2000-11-30,5533.21
485,2000-12-01,5578.25
486,2000-12-04,5550.89
487,2000-12-05,5643.81
488,2000-12-06,5604.16
489,2000-12-07,5550.57
490,2000-12-08,5538.44
491,2000-12-11,5565.46
492,2000-12-12,5549.24
493,2000-12-13,5563.85
494,2000-12-14,5495.63
495,2000-12-15,5449.22
496,2000-12-18,5511.11
497,2000-12-19,5563.39
498,2000-12-20,5508.82
499,2000-12-21,5468.73
500,2000-12-22,5501.27
501,2000-12-27,5573.72
502,2000-12-28,5627.97
503,2000-12-29,5621.13
504,2001-01-03,5601.76
505,2001-01-04,5603.67
506,2001-01-05,5521.97
507,2001-01-08,5515.63
508,2001-01-09,5498.51
509,2001-01-10,5441.81
510,2001-01-11,5449.7
511,2001-01-12,5441.12
512,2001-01-15,5449.11
513,2001-01-16,5451.59
514,2001-01-17,5518.18
515,2001-01-18,5497.86
516,2001-01-19,5454.57
517,2001-01-22,5460.57
518,2001-01-23,5459.08
519,2001-01-24,5494.03
520,2001-01-25,5521.47
521,2001-01-26,5556.39
522,2001-01-29,5552.43
523,2001-01-30,5555.57
524,2001-01-31,5564.09
525,2001-02-01,5514.2
526,2001-02-02,5532.75
527,2001-02-05,5560.94
528,2001-02-06,5573.41
529,2001-02-07,5550.43
530,2001-02-08,5500.61
531,2001-02-09,5484.39
532,2001-02-12,5469.39
533,2001-02-13,5478.01
534,2001-02-14,5418.7
535,2001-02-15,5451.38
536,2001-02-16,5378.92
537,2001-02-19,5382.7
538,2001-02-20,5348.08
539,2001-02-21,5303.6
540,2001-02-22,5306.62
541,2001-02-23,5269.82
542,2001-02-26,5307.33
543,2001-02-27,5316.48
544,2001-02-28,5320.82
545,2001-03-01,5219.54
546,2001-03-02,5200.62
547,2001-03-05,5227.55
548,2001-03-06,5254.32
549,2001-03-07,5254.34
550,2001-03-08,5230.57
551,2001-03-09,5205.61
552,2001-03-12,5116.27
553,2001-03-13,5101.77
554,2001-03-14,4998.09
555,2001-03-15,5024.82
556,2001-03-16,4917.09
557,2001-03-19,4867.8
558,2001-03-20,4889.7
559,2001-03-21,4815.02
560,2001-03-22,4565.45
561,2001-03-23,4666.13
562,2001-03-26,4829.85
563,2001-03-27,4850.35
564,2001-03-28,4829.04
565,2001-03-29,4869.65
566,2001-03-30,4952.28
567,2001-04-02,4867.53
568,2001-04-03,4761.82
569,2001-04-04,4727.87
570,2001-04-05,4829.64
571,2001-04-06,4817.94
572,2001-04-09,4885.97
573,2001-04-10,4950.8
574,2001-04-11,5002.75
575,2001-04-12,5007.11
576,2001-04-17,5007.6
577,2001-04-18,5071.74
578,2001-04-19,5046.85
579,2001-04-20,5011.22
580,2001-04-23,4966.92
581,2001-04-24,5022.58
582,2001-04-25,4983.58
583,2001-04-26,4981.73
584,2001-04-27,5009.7
585,2001-04-30,5064.11
586,2001-05-02,5098.16
587,2001-05-03,5056.15
588,2001-05-04,5093.64
589,2001-05-07,5160.0
590,2001-05-08,5147.83
591,2001-05-09,5110.6
592,2001-05-10,5181.75
593,2001-05-11,5201.94
594,2001-05-14,5170.86
595,2001-05-15,5215.25
596,2001-05-16,5224.59
597,2001-05-17,5272.37
598,2001-05-18,5283.52
599,2001-05-21,5294.5
600,2001-05-22,5315.83
601,2001-05-23,5317.2
602,2001-05-25,5296.73
603,2001-05-28,5289.08
604,2001-05-29,5258.14
605,2001-05-30,5222.72
606,2001-05-31,5183.45
607,2001-06-01,5206.79
608,2001-06-05,5247.32
609,2001-06-06,5246.05
610,2001-06-07,5251.39
611,2001-06-08,5227.55
612,2001-06-11,5196.28
613,2001-06-12,5133.83
614,2001-06-13,5179.67
615,2001-06-14,5114.34
616,2001-06-15,5084.82
617,2001-06-18,5071.58
618,2001-06-19,5039.58
619,2001-06-20,4996.01
620,2001-06-21,4997.48
621,2001-06-22,4957.15
622,2001-06-25,4961.49
623,2001-06-26,4898.93
624,2001-06-27,4852.99
625,2001-06-28,4950.23
626,2001-06-29,5006.54
627,2001-07-02,5048.65
628,2001-07-03,5003.83
629,2001-07-04,4964.46
630,2001-07-05,4924.6
631,2001-07-06,4837.37
632,2001-07-09,4839.4
633,2001-07-10,4783.56
