date,value
1999-01-04,1.7
1999-01-05,1.665
1999-01-06,1.66
1999-01-07,1.663
1999-01-08,1.639
1999-01-11,1.531
1999-01-12,1.478
1999-01-13,1.444
1999-01-14,1.422
1999-01-19,1.403
1999-01-20,1.4
1999-01-21,1.404
1999-01-22,1.476
1999-01-25,1.41
1999-01-26,1.367
1999-01-27,1.381
1999-02-02,1.367
1999-02-03,1.368
1999-02-04,1.4
1999-02-05,1.394
1999-02-08,1.402
1999-02-09,1.363
1999-02-10,1.373
1999-02-11,1.355
1999-02-12,1.392
1999-02-15,1.36
1999-02-16,1.341
1999-02-17,1.357
1999-02-18,1.344
1999-02-19,1.336
1999-02-22,1.364
1999-02-23,1.354
1999-02-24,1.294
1999-02-25,1.238
1999-02-26,1.293
1999-03-01,1.332
1999-03-02,1.392
1999-03-03,1.465
1999-03-04,1.503
1999-03-05,1.475
1999-03-08,1.47
1999-03-09,1.367
1999-03-10,1.501
1999-03-11,1.47
1999-03-12,1.438
1999-03-15,1.444
1999-03-16,1.451
1999-03-17,1.433
1999-03-18,1.423
1999-03-19,1.4
1999-03-22,1.423
1999-03-23,1.42
1999-03-24,1.386
1999-03-25,1.39
1999-03-26,1.297
1999-03-29,1.415
1999-03-30,1.518
1999-03-31,1.375
1999-04-01,1.343
1999-04-06,1.346
1999-04-07,1.333
1999-04-08,1.304
1999-04-09,1.133
1999-04-12,1.154
1999-04-13,1.18
1999-04-14,1.16
1999-04-15,1.145
1999-04-16,1.173
1999-04-19,1.144
1999-04-20,1.14
1999-04-21,1.121
1999-04-22,1.112
1999-04-23,1.125
1999-04-26,1.151
1999-04-27,1.171
1999-04-28,1.178
1999-04-29,1.235
1999-04-30,1.171
1999-05-03,1.159
1999-05-04,1.165
1999-05-05,1.165
1999-05-06,1.135
1999-05-07,1.146
1999-05-10,1.16
1999-05-11,1.208
1999-05-12,1.106
1999-05-14,1.107
1999-05-17,1.19
1999-05-18,1.223
1999-05-19,1.225
1999-05-20,1.229
1999-05-21,1.221
1999-05-25,1.215
1999-05-26,1.147
1999-05-27,1.158
1999-05-28,1.169
1999-05-31,1.17
1999-06-01,1.223
1999-06-02,1.322
1999-06-03,1.31
1999-06-04,1.332
1999-06-07,1.323
1999-06-08,1.285
1999-06-09,1.281
1999-06-10,1.329
1999-06-11,1.4
1999-06-14,1.387
1999-06-15,1.406
1999-06-16,1.401
1999-06-17,1.379
1999-06-18,1.365
1999-06-21,1.346
1999-06-22,1.379
1999-06-23,1.419
1999-06-24,1.437
1999-06-25,1.491
1999-06-28,1.548
1999-06-29,1.735
1999-06-30,1.588
1999-07-01,1.589
1999-07-02,1.714
1999-07-05,1.746
1999-07-06,1.773
1999-07-07,1.775
1999-07-08,1.749
1999-07-09,1.745
1999-07-12,1.786
1999-07-13,1.724
1999-07-14,1.749
1999-07-15,1.713
1999-07-16,1.789
1999-07-19,1.782
1999-07-20,1.796
1999-07-21,1.772
1999-07-22,1.66
1999-07-23,1.686
1999-07-26,1.747
1999-07-27,1.722
1999-07-28,1.634
1999-07-29,1.65
1999-07-30,1.676
1999-08-02,1.661
1999-08-03,1.661
1999-08-04,1.705
1999-08-05,1.731
1999-08-06,1.737
1999-08-09,1.742
1999-08-10,1.768
1999-08-11,1.753
1999-08-12,1.769
1999-08-13,1.816
1999-08-16,1.777
1999-08-17,1.753
1999-08-18,1.767
1999-08-19,1.694
1999-08-20,1.682
1999-08-23,1.684
1999-08-24,1.728
1999-08-25,1.718
1999-08-26,1.742
1999-08-27,1.74
1999-08-30,1.695
1999-08-31,1.72
1999-09-01,1.726
1999-09-02,1.697
1999-09-03,1.72
1999-09-06,1.731
1999-09-07,1.719
1999-09-08,1.694
1999-09-09,1.708
1999-09-10,1.722
1999-09-13,1.761
1999-09-14,1.761
1999-09-15,1.775
1999-09-16,1.753
1999-09-17,1.79
1999-09-20,1.861
1999-09-21,1.911
1999-09-22,1.904
1999-09-23,1.93
1999-09-24,1.932
1999-09-28,2.034
1999-09-29,2.095
1999-09-30,2.11
1999-10-01,2.249
1999-10-04,2.488
1999-10-05,2.198
1999-10-06,2.365
1999-10-07,2.459
1999-10-08,2.465
1999-10-11,2.63
1999-10-12,2.468
1999-10-13,2.618
